frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
333,11.106667,0.033334000,B,0
334,11.140000,0.033333000,B,0
335,11.173333,0.033333000,B,0
336,11.206667,0.033334000,I,1
337,11.240000,0.033333000,B,0
338,11.273333,0.033333000,B,0
339,11.306667,0.033334000,B,0
340,11.340000,0.033333000,P,0
341,11.373333,0.033333000,B,0
342,11.406667,0.033334000,B,0
343,11.440000,0.033333000,B,0
344,11.473333,0.033333000,P,0
345,11.506667,0.033334000,B,0
346,11.540000,0.033333000,B,0
347,11.573333,0.033333000,B,0
348,11.606667,0.033334000,P,0
349,11.640000,0.033333000,B,0
350,11.673333,0.033333000,B,0
351,11.706667,0.033334000,B,0
352,11.740000,0.033333000,P,0
353,11.773333,0.033333000,B,0
354,11.806667,0.033334000,B,0
355,11.840000,0.033333000,B,0
356,11.873333,0.033333000,P,0
357,11.906667,0.033334000,B,0
358,11.940000,0.033333000,B,0
359,11.973333,0.033333000,B,0
360,12.006667,0.033334000,P,0
361,12.040000,0.033333000,B,0
362,12.073333,0.033333000,B,0
363,12.106667,0.033334000,B,0
364,12.140000,0.033333000,I,1
365,12.173333,0.033333000,B,0
366,12.206667,0.033334000,B,0
367,12.240000,0.033333000,B,0
368,12.273333,0.033333000,P,0
369,12.306667,0.033334000,B,0
370,12.340000,0.033333000,B,0
371,12.373333,0.033333000,B,0
372,12.406667,0.033334000,P,0
373,12.440000,0.033333000,B,0
374,12.473333,0.033333000,B,0
375,12.506667,0.033334000,B,0
376,12.540000,0.033333000,P,0
377,12.573333,0.033333000,B,0
378,12.606667,0.033334000,B,0
379,12.640000,0.033333000,B,0
380,12.673333,0.033333000,P,0
381,12.706667,0.033334000,B,0
382,12.740000,0.033333000,B,0
383,12.773333,0.033333000,B,0
384,12.806667,0.033334000,P,0
385,12.840000,0.033333000,B,0
386,12.873333,0.033333000,B,0
387,12.906667,0.033334000,B,0
388,12.940000,0.033333000,P,0
389,12.973333,0.033333000,B,0
390,13.006667,0.033334000,B,0
391,13.040000,0.033333000,B,0
392,13.073333,0.033333000,I,1
393,13.106667,0.033334000,B,0
394,13.140000,0.033333000,B,0
395,13.173333,0.033333000,B,0
396,13.206667,0.033334000,P,0
397,13.240000,0.033333000,B,0
398,13.273333,0.033333000,B,0
399,13.306667,0.033334000,B,0
400,13.340000,0.033333000,P,0
401,13.373333,0.033333000,B,0
402,13.406667,0.033334000,B,0
403,13.440000,0.033333000,B,0
404,13.473333,0.033333000,P,0
405,13.506667,0.033334000,B,0
406,13.540000,0.033333000,B,0
407,13.573333,0.033333000,B,0
408,13.606667,0.033334000,P,0
409,13.640000,0.033333000,B,0
410,13.673333,0.033333000,B,0
411,13.706667,0.033334000,B,0
412,13.740000,0.033333000,P,0
413,13.773333,0.033333000,B,0
414,13.806667,0.033334000,B,0
415,13.840000,0.033333000,B,0
416,13.873333,0.033333000,P,0
417,13.906667,0.033334000,B,0
418,13.940000,0.033333000,B,0
419,13.973333,0.033333000,B,0
420,14.006667,0.033334000,I,1
421,14.040000,0.033333000,B,0
422,14.073333,0.033333000,B,0
423,14.106667,0.033334000,B,0
424,14.140000,0.033333000,P,0
425,14.173333,0.033333000,B,0
426,14.206667,0.033334000,B,0
427,14.240000,0.033333000,B,0
428,14.273333,0.033333000,P,0
429,14.306667,0.033334000,B,0
430,14.340000,0.033333000,B,0
431,14.373333,0.033333000,B,0
432,14.406667,0.033334000,P,0
433,14.440000,0.033333000,B,0
434,14.473333,0.033333000,B,0
435,14.506667,0.033334000,B,0
436,14.540000,0.033333000,P,0
437,14.573333,0.033333000,B,0
438,14.606667,0.033334000,B,0
439,14.640000,0.033333000,B,0
440,14.673333,0.033333000,P,0
441,14.706667,0.033334000,B,0
442,14.740000,0.033333000,B,0
443,14.773333,0.033333000,B,0
444,14.806667,0.033334000,P,0
445,14.840000,0.033333000,B,0
446,14.873333,0.033333000,B,0
447,14.906667,0.033334000,B,0
448,14.940000,0.033333000,I,1
449,14.973333,0.033333000,B,0
450,15.006667,0.033334000,B,0
451,15.040000,0.033333000,B,0
452,15.073333,0.033333000,P,0
453,15.106667,0.033334000,B,0
454,15.140000,0.033333000,B,0
455,15.173333,0.033333000,B,0
456,15.206667,0.033334000,P,0
457,15.240000,0.033333000,B,0
458,15.273333,0.033333000,B,0
459,15.306667,0.033334000,B,0
460,15.340000,0.033333000,P,0
461,15.373333,0.033333000,B,0
462,15.406667,0.033334000,B,0
463,15.440000,0.033333000,B,0
464,15.473333,0.033333000,P,0
465,15.506667,0.033334000,B,0
466,15.540000,0.033333000,B,0
467,15.573333,0.033333000,B,0
468,15.606667,0.033334000,P,0
469,15.640000,0.033333000,B,0
470,15.673333,0.033333000,B,0
471,15.706667,0.033334000,B,0
472,15.740000,0.033333000,P,0
473,15.773333,0.033333000,B,0
474,15.806667,0.033334000,B,0
475,15.840000,0.033333000,B,0
476,15.873333,0.033333000,I,1
477,15.906667,0.033334000,B,0
478,15.940000,0.033333000,B,0
479,15.973333,0.033333000,B,0
480,16.006667,0.033334000,P,0
481,16.040000,0.033333000,B,0
482,16.073333,0.033333000,B,0
483,16.106667,0.033334000,B,0
484,16.140000,0.033333000,P,0
485,16.173333,0.033333000,B,0
486,16.206667,0.033334000,B,0
487,16.240000,0.033333000,B,0
488,16.273333,0.033333000,P,0
489,16.306667,0.033334000,B,0
490,16.340000,0.033333000,B,0
491,16.373333,0.033333000,B,0
492,16.406667,0.033334000,P,0
493,16.440000,0.033333000,B,0
494,16.473333,0.033333000,B,0
495,16.506667,0.033334000,B,0
496,16.540000,0.033333000,P,0
497,16.573333,0.033333000,B,0
498,16.606667,0.033334000,B,0
499,16.640000,0.033333000,B,0
500,16.673333,0.033333000,P,0
501,16.706667,0.033334000,B,0
502,16.740000,0.033333000,B,0
503,16.773333,0.033333000,B,0
504,16.806667,0.033334000,I,1
505,16.840000,0.033333000,B,0
506,16.873333,0.033333000,B,0
507,16.906667,0.033334000,B,0
508,16.940000,0.033333000,P,0
509,16.973333,0.033333000,B,0
510,17.006667,0.033334000,B,0
511,17.040000,0.033333000,B,0
512,17.073333,0.033333000,P,0
513,17.106667,0.033334000,B,0
514,17.140000,0.033333000,B,0
515,17.173333,0.033333000,B,0
516,17.206667,0.033334000,P,0
517,17.240000,0.033333000,B,0
518,17.273333,0.033333000,B,0
519,17.306667,0.033334000,B,0
520,17.340000,0.033333000,P,0
521,17.373333,0.033333000,B,0
522,17.406667,0.033334000,B,0
523,17.440000,0.033333000,B,0
524,17.473333,0.033333000,P,0
525,17.506667,0.033334000,B,0
526,17.540000,0.033333000,B,0
527,17.573333,0.033333000,B,0
528,17.606667,0.033334000,P,0
529,17.640000,0.033333000,B,0
530,17.673333,0.033333000,B,0
531,17.706667,0.033334000,B,0
532,17.740000,0.033333000,I,1
533,17.773333,0.033333000,B,0
534,17.806667,0.033334000,B,0
535,17.840000,0.033333000,B,0
536,17.873333,0.033333000,P,0
537,17.906667,0.033334000,B,0
538,17.940000,0.033333000,B,0
539,17.973333,0.033333000,B,0
540,18.006667,0.033334000,P,0
541,18.040000,0.033333000,B,0
542,18.073333,0.033333000,B,0
543,18.106667,0.033334000,B,0
544,18.140000,0.033333000,P,0
545,18.173333,0.033333000,B,0
546,18.206667,0.033334000,B,0
547,18.240000,0.033333000,B,0
548,18.273333,0.033333000,P,0
549,18.306667,0.033334000,B,0
550,18.340000,0.033333000,B,0
551,18.373333,0.033333000,B,0
552,18.406667,0.033334000,P,0
553,18.440000,0.033333000,B,0
554,18.473333,0.033333000,B,0
555,18.506667,0.033334000,B,0
556,18.540000,0.033333000,P,0
557,18.573333,0.033333000,B,0
558,18.606667,0.033334000,B,0
559,18.640000,0.033333000,B,0
560,18.673333,0.033333000,I,1
561,18.706667,0.033334000,B,0
562,18.740000,0.033333000,B,0
563,18.773333,0.033333000,B,0
564,18.806667,0.033334000,P,0
565,18.840000,0.033333000,B,0
566,18.873333,0.033333000,B,0
567,18.906667,0.033334000,B,0
568,18.940000,0.033333000,P,0
569,18.973333,0.033333000,B,0
570,19.006667,0.033334000,B,0
571,19.040000,0.033333000,B,0
572,19.073333,0.033333000,P,0
573,19.106667,0.033334000,B,0
574,19.140000,0.033333000,B,0
575,19.173333,0.033333000,B,0
576,19.206667,0.033334000,P,0
577,19.240000,0.033333000,B,0
578,19.273333,0.033333000,B,0
579,19.306667,0.033334000,B,0
580,19.340000,0.033333000,P,0
581,19.373333,0.033333000,B,0
582,19.406667,0.033334000,B,0
583,19.440000,0.033333000,B,0
584,19.473333,0.033333000,P,0
585,19.506667,0.033334000,B,0
586,19.540000,0.033333000,B,0
587,19.573333,0.033333000,B,0
588,19.606667,0.033334000,I,1
589,19.640000,0.033333000,B,0
590,19.673333,0.033333000,B,0
591,19.706667,0.033334000,B,0
592,19.740000,0.033333000,P,0
593,19.773333,0.033333000,B,0
594,19.806667,0.033334000,B,0
595,19.840000,0.033333000,B,0
596,19.873333,0.033333000,P,0
597,19.906667,0.033334000,B,0
598,19.940000,0.033333000,B,0
599,19.973333,0.033333000,B,0
600,20.006667,0.033334000,P,0
601,20.040000,0.033333000,B,0
602,20.073333,0.033333000,B,0
603,20.106667,0.033334000,B,0
604,20.140000,0.033333000,P,0
605,20.173333,0.033333000,B,0
606,20.206667,0.033334000,B,0
607,20.240000,0.033333000,B,0
608,20.273333,0.033333000,P,0
609,20.306667,0.033334000,B,0
610,20.340000,0.033333000,B,0
611,20.373333,0.033333000,B,0
612,20.406667,0.033334000,P,0
613,20.440000,0.033333000,B,0
614,20.473333,0.033333000,B,0
615,20.506667,0.033334000,B,0
616,20.540000,0.033333000,I,1
617,20.573333,0.033333000,B,0
618,20.606667,0.033334000,B,0
619,20.640000,0.033333000,B,0
620,20.673333,0.033333000,P,0
621,20.706667,0.033334000,B,0
622,20.740000,0.033333000,B,0
623,20.773333,0.033333000,B,0
624,20.806667,0.033334000,P,0
625,20.840000,0.033333000,B,0
626,20.873333,0.033333000,B,0
627,20.906667,0.033334000,B,0
628,20.940000,0.033333000,P,0
629,20.973333,0.033333000,B,0
630,21.006667,0.033334000,B,0
631,21.040000,0.033333000,B,0
632,21.073333,0.033333000,P,0
633,21.106667,0.033334000,B,0
634,21.140000,0.033333000,B,0
635,21.173333,0.033333000,B,0
636,21.206667,0.033334000,P,0
637,21.240000,0.033333000,B,0
638,21.273333,0.033333000,B,0
639,21.306667,0.033334000,B,0
640,21.340000,0.033333000,P,0
641,21.373333,0.033333000,B,0
642,21.406667,0.033334000,B,0
643,21.440000,0.033333000,B,0
644,21.473333,0.033333000,I,1
645,21.506667,0.033334000,B,0
646,21.540000,0.033333000,B,0
647,21.573333,0.033333000,B,0
648,21.606667,0.033334000,P,0
649,21.640000,0.033333000,B,0
650,21.673333,0.033333000,B,0
651,21.706667,0.033334000,B,0
652,21.740000,0.033333000,P,0
653,21.773333,0.033333000,B,0
654,21.806667,0.033334000,B,0
655,21.840000,0.033333000,B,0
656,21.873333,0.033333000,P,0
657,21.906667,0.033334000,B,0
658,21.940000,0.033333000,B,0
659,21.973333,0.033333000,B,0
660,22.006667,0.033334000,P,0
661,22.040000,0.033333000,B,0
662,22.073333,0.033333000,B,0
663,22.106667,0.033334000,B,0
664,22.140000,0.033333000,P,0
665,22.173333,0.033333000,B,0
666,22.206667,0.033334000,B,0
667,22.240000,0.033333000,B,0
668,22.273333,0.033333000,P,0
669,22.306667,0.033334000,B,0
670,22.340000,0.033333000,B,0
671,22.373333,0.033333000,B,0
672,22.406667,0.033334000,I,1
673,22.440000,0.033333000,B,0
674,22.473333,0.033333000,B,0
675,22.506667,0.033334000,B,0
676,22.540000,0.033333000,P,0
677,22.573333,0.033333000,B,0
678,22.606667,0.033334000,B,0
679,22.640000,0.033333000,B,0
680,22.673333,0.033333000,P,0
681,22.706667,0.033334000,B,0
682,22.740000,0.033333000,B,0
683,22.773333,0.033333000,B,0
684,22.806667,0.033334000,P,0
685,22.840000,0.033333000,B,0
686,22.873333,0.033333000,B,0
687,22.906667,0.033334000,B,0
688,22.940000,0.033333000,P,0
689,22.973333,0.033333000,B,0
690,23.006667,0.033334000,B,0
691,23.040000,0.033333000,B,0
692,23.073333,0.033333000,P,0
693,23.106667,0.033334000,B,0
694,23.140000,0.033333000,B,0
695,23.173333,0.033333000,B,0
696,23.206667,0.033334000,P,0
697,23.240000,0.033333000,B,0
698,23.273333,0.033333000,B,0
699,23.306667,0.033334000,B,0
700,23.340000,0.033333000,I,1
701,23.373333,0.033333000,B,0
702,23.406667,0.033334000,B,0
703,23.440000,0.033333000,B,0
704,23.473333,0.033333000,P,0
705,23.506667,0.033334000,B,0
706,23.540000,0.033333000,B,0
707,23.573333,0.033333000,B,0
708,23.606667,0.033334000,P,0
709,23.640000,0.033333000,B,0
710,23.673333,0.033333000,B,0
711,23.706667,0.033334000,B,0
712,23.740000,0.033333000,P,0
713,23.773333,0.033333000,B,0
714,23.806667,0.033334000,B,0
715,23.840000,0.033333000,B,0
716,23.873333,0.033333000,P,0
717,23.906667,0.033334000,B,0
718,23.940000,0.033333000,B,0
719,23.973333,0.033333000,B,0
720,24.006667,0.033334000,P,0
721,24.040000,0.033333000,B,0
722,24.073333,0.033333000,B,0
723,24.106667,0.033334000,B,0
724,24.140000,0.033333000,P,0
725,24.173333,0.033333000,B,0
726,24.206667,0.033334000,B,0
727,24.240000,0.033333000,B,0
728,24.273333,0.033333000,I,1
729,24.306667,0.033334000,B,0
730,24.340000,0.033333000,B,0
731,24.373333,0.033333000,B,0
732,24.406667,0.033334000,P,0
733,24.440000,0.033333000,B,0
734,24.473333,0.033333000,B,0
735,24.506667,0.033334000,B,0
736,24.540000,0.033333000,P,0
737,24.573333,0.033333000,B,0
738,24.606667,0.033334000,B,0
739,24.640000,0.033333000,B,0
740,24.673333,0.033333000,P,0
741,24.706667,0.033334000,B,0
742,24.740000,0.033333000,B,0
743,24.773333,0.033333000,B,0
744,24.806667,0.033334000,P,0
745,24.840000,0.033333000,B,0
746,24.873333,0.033333000,B,0
747,24.906667,0.033334000,B,0
748,24.940000,0.033333000,P,0
749,24.973333,0.033333000,B,0
750,25.006667,0.033334000,B,0
751,25.040000,0.033333000,B,0
752,25.073333,0.033333000,P,0
753,25.106667,0.033334000,B,0
754,25.140000,0.033333000,B,0
755,25.173333,0.033333000,B,0
756,25.206667,0.033334000,I,1
757,25.240000,0.033333000,B,0
758,25.273333,0.033333000,B,0
759,25.306667,0.033334000,B,0
760,25.340000,0.033333000,P,0
761,25.373333,0.033333000,B,0
762,25.406667,0.033334000,B,0
763,25.440000,0.033333000,B,0
764,25.473333,0.033333000,P,0
765,25.506667,0.033334000,B,0
766,25.540000,0.033333000,B,0
767,25.573333,0.033333000,B,0
768,25.606667,0.033334000,P,0
769,25.640000,0.033333000,B,0
770,25.673333,0.033333000,B,0
771,25.706667,0.033334000,B,0
772,25.740000,0.033333000,P,0
773,25.773333,0.033333000,B,0
774,25.806667,0.033334000,B,0
775,25.840000,0.033333000,B,0
776,25.873333,0.033333000,P,0
777,25.906667,0.033334000,B,0
778,25.940000,0.033333000,B,0
779,25.973333,0.033333000,B,0
780,26.006667,0.033334000,P,0
781,26.040000,0.033333000,B,0
782,26.073333,0.033333000,B,0
783,26.106667,0.033334000,B,0
784,26.140000,0.033333000,I,1
785,26.173333,0.033333000,B,0
786,26.206667,0.033334000,B,0
787,26.240000,0.033333000,B,0
788,26.273333,0.033333000,P,0
789,26.306667,0.033334000,B,0
790,26.340000,0.033333000,B,0
791,26.373333,0.033333000,B,0
792,26.406667,0.033334000,P,0
793,26.440000,0.033333000,B,0
794,26.473333,0.033333000,B,0
795,26.506667,0.033334000,B,0
796,26.540000,0.033333000,P,0
797,26.573333,0.033333000,B,0
798,26.606667,0.033334000,B,0
799,26.640000,0.033333000,B,0
800,26.673333,0.033333000,P,0
801,26.706667,0.033334000,B,0
802,26.740000,0.033333000,B,0
803,26.773333,0.033333000,B,0
804,26.806667,0.033334000,P,0
805,26.840000,0.033333000,B,0
806,26.873333,0.033333000,B,0
807,26.906667,0.033334000,B,0
808,26.940000,0.033333000,P,0
809,26.973333,0.033333000,B,0
810,27.006667,0.033334000,B,0
811,27.040000,0.033333000,B,0
812,27.073333,0.033333000,I,1
813,27.106667,0.033334000,B,0
814,27.140000,0.033333000,B,0
815,27.173333,0.033333000,B,0
816,27.206667,0.033334000,P,0
